currentPrice,previousClose,open,dayLow,dayHigh,bid,dividendYield,earningsGrowth,revenueGrowth,grossMargins,ebitdaMargins,operatingMargins,financialCurrency,returnOnAssets,returnOnEquity,bookValue,priceToBook,volume,fiftyTwoWeekRange,marketCap,trailingPE,symbol,timestamp
476.79,493.54,467.415,462.1,477.2905,468.1,,-0.474,0.016,0.30621,0.34082,0.25908002,USD,0.063930005,0.14653,451367.2,0.0010373151,2740378,395.66 - 539.0,1011239944192,11.347795,BRK-B,2025-04-07 08:48:29.688641
477.95,493.54,467.415,462.1,478.0,468.01,,-0.474,0.016,0.30621,0.34082,0.25908002,USD,0.063930005,0.14653,451367.2,0.0010334159,2859552,395.66 - 539.0,1007438790656,11.305139,BRK-B,2025-04-07 08:51:10.633092
478.375,493.54,467.415,462.1,478.9252,468.01,,-0.474,0.016,0.30621,0.34082,0.25908002,USD,0.063930005,0.14653,451367.2,0.0010336152,2904400,395.66 - 539.0,1007633170432,11.30732,BRK-B,2025-04-07 08:52:13.317465
479.47,493.54,467.415,462.1,480.0,467.0,,-0.474,0.016,0.30621,0.34082,0.25908002,USD,0.063930005,0.14653,451367.2,0.0010337038,2955518,395.66 - 539.0,1007719481344,11.308289,BRK-B,2025-04-07 08:53:18.229991
478.88,493.54,467.415,462.1,480.0,467.0,,-0.474,0.016,0.30621,0.34082,0.25908002,USD,0.063930005,0.14653,451367.2,0.0010323967,2983516,395.66 - 539.0,1006445199360,11.293989,BRK-B,2025-04-07 08:54:20.441046
477.7,493.54,467.415,462.1,480.0,467.0,,-0.474,0.016,0.30621,0.34082,0.25908002,USD,0.063930005,0.14653,451367.2,0.001031865,3031376,395.66 - 539.0,1005926875136,11.288173,BRK-B,2025-04-07 08:55:32.612356
478.42,493.54,467.415,462.1,480.0,466.45,,-0.474,0.016,0.30621,0.34082,0.25908002,USD,0.063930005,0.14653,451367.2,0.001032153,3059874,395.66 - 539.0,1006207696896,11.291324,BRK-B,2025-04-07 08:56:34.960063
468.12,493.54,519.0,462.1,469.27,467.0,,-0.474,0.016,0.30621,0.34082,0.25908002,USD,0.063930005,0.14653,451367.2,0.0010371157,1760412,395.66 - 539.0,1011045564416,11.3456135,BRK-B,2025-04-07 08:57:39.410756
479.98,493.54,467.415,462.1,480.0,466.3,,-0.474,0.016,0.30621,0.34082,0.25908002,USD,0.063930005,0.14653,451367.2,0.0010412808,3117317,395.66 - 539.0,1015106043904,11.391178,BRK-B,2025-04-07 08:58:41.870658
469.34,493.54,519.0,462.1,470.0,466.5,,-0.474,0.016,0.30621,0.34082,0.25908002,USD,0.063930005,0.14653,451367.2,0.0010398186,2067359,395.66 - 539.0,1013680570368,11.375182,BRK-B,2025-04-07 08:59:44.503758
473.545,493.54,467.415,462.1,474.0,466.83,,-0.474,0.016,0.30621,0.34082,0.25908002,USD,0.063930005,0.14653,451367.2,0.0010491348,2522310,395.66 - 539.0,1022762549248,11.4770975,BRK-B,2025-04-07 09:00:46.988375
472.47,493.54,467.415,462.1,474.1999,466.83,,-0.474,0.016,0.30621,0.34082,0.25908002,USD,0.063930005,0.14653,451367.2,0.0010467531,2567426,395.66 - 539.0,1020440739840,11.451043,BRK-B,2025-04-07 09:01:49.517710
477.0452,493.54,467.415,462.1,477.2905,465.75,,-0.474,0.016,0.30621,0.34082,0.25908002,USD,0.063930005,0.14653,451367.2,0.0010568894,2734704,395.66 - 539.0,1030322257920,11.56193,BRK-B,2025-04-07 09:02:54.088823
476.72,493.54,467.415,462.1,480.0,468.34,,-0.474,0.016,0.30621,0.34082,0.25908002,USD,0.063930005,0.14653,451367.2,0.0010605445,3297575,395.66 - 539.0,1033885515776,11.601915,BRK-B,2025-04-07 09:03:56.321394
478.34,493.54,467.415,462.1,480.0,470.93,,-0.474,0.016,0.30621,0.34082,0.25908002,USD,0.063930005,0.14653,451367.2,0.001059758,3165372,395.66 - 539.0,1033118744576,11.593311,BRK-B,2025-04-07 09:04:59.094392
477.13,493.54,467.415,462.1,480.0,472.73,,-0.474,0.016,0.30621,0.34082,0.25908002,USD,0.063930005,0.14653,451367.2,0.0010553461,3375498,395.66 - 539.0,1028817747968,11.545047,BRK-B,2025-04-07 09:06:01.824579
477.26,493.54,467.415,462.1,480.0,475.53,,-0.474,0.016,0.30621,0.34082,0.25908002,USD,0.063930005,0.14653,451367.2,0.0010573433,3399344,395.66 - 539.0,1030764756992,11.5668955,BRK-B,2025-04-07 09:07:04.161208
475.1311,493.54,467.415,462.1,480.0,478.16,,-0.474,0.016,0.30621,0.34082,0.25908002,USD,0.063930005,0.14653,451367.2,0.0010526488,3429207,395.66 - 539.0,1026188181504,11.515538,BRK-B,2025-04-07 09:08:06.986295
475.43,493.54,467.415,462.1,480.0,478.31,,-0.474,0.016,0.30621,0.34082,0.25908002,USD,0.063930005,0.14653,451367.2,0.0010533109,3469520,395.66 - 539.0,1026833711104,11.522782,BRK-B,2025-04-07 09:09:09.266678
475.554,493.54,467.415,462.1,480.0,478.13,,-0.474,0.016,0.30621,0.34082,0.25908002,USD,0.063930005,0.14653,451367.2,0.0010535857,3495027,395.66 - 539.0,1027101556736,11.525787,BRK-B,2025-04-07 09:10:11.812163
